Region;M49 code;Country;Household estimate (kg/capita/year);Household estimate (g/capita/Tag); Household estimate (g/capita/Woche); Household estimate (Brote/capita/Woche) Brot=500g;Household estimate (tonnes/year);Confidence in estimate
Europe East;643;Russian Federation; 33 ; 93 ; 642 ; 1,3 ; 4.868.564 ; B
Europe Southern ;705;Slovenia; 34 ; 95 ; 658 ; 1,3 ; 71.107 ; B
Europe Western ;40;Austria; 39 ; 108 ; 750 ; 1,5 ; 349.249 ; A
Africa Sub-Saharan;710;South Africa; 40 ; 110 ; 765 ; 1,5 ; 2.329.228 ; B
Europe Western ;56;Belgium; 50 ; 139 ; 960 ; 1,9 ; 576.036 ; B
Europe Western ;528;Netherlands; 50 ; 139 ; 962 ; 1,9 ; 854.855 ; A
Asia Southern;356;India; 50 ; 140 ; 968 ; 1,9 ; 68.760.163 ; B
Latin America and the Caribbean;84;Belize; 53 ; 146 ; 1.013 ; 2,0 ; 20.564 ; B
Europe Northern;372;Ireland; 55 ; 152 ; 1.052 ; 2,1 ; 267.073 ; B
Europe East;616;Poland; 56 ; 155 ; 1.076 ; 2,2 ; 2.119.455 ; B
America North;840;United States of America; 59 ; 163 ; 1.131 ; 2,3 ; 19.359.951 ; A
Latin America and the Caribbean;76;Brazil; 60 ; 166 ; 1.146 ; 2,3 ; 12.578.308 ; B
Australia and New Zealand;554;New Zealand; 61 ; 169 ; 1.173 ; 2,3 ; 291.769 ; A
Asia East;156;China; 64 ; 178 ; 1.229 ; 2,5 ; 91.646.213 ; B
Asia East;392;Japan; 64 ; 179 ; 1.237 ; 2,5 ; 8.159.891 ; B
Asia Southern;50;Bangladesh; 65 ; 181 ; 1.252 ; 2,5 ; 10.618.233 ; B
Europe Northern;246;Finland; 65 ; 182 ; 1.258 ; 2,5 ; 361.937 ; B
Europe Southern ;380;Italy; 67 ; 186 ; 1.289 ; 2,6 ; 4.059.806 ; B
Europe East;112;Belarus; 68 ; 190 ; 1.315 ; 2,6 ; 646.356 ; D
Europe East;100;Bulgaria; 68 ; 190 ; 1.315 ; 2,6 ; 478.667 ; D
Europe East;203;Czechia; 70 ; 194 ; 1.344 ; 2,7 ; 746.840 ; D
Europe East;642;Romania; 70 ; 194 ; 1.344 ; 2,7 ; 1.352.979 ; D
Europe East;703;Slovakia; 70 ; 194 ; 1.344 ; 2,7 ; 381.273 ; D
Latin America and the Caribbean;170;Colombia; 70 ; 196 ; 1.354 ; 2,7 ; 3.545.499 ; B
Asia Southern;364;Iran (Islamic Republic of); 71 ; 197 ; 1.365 ; 2,7 ; 5.884.842 ; D
Asia Southern;462;Maldives; 71 ; 197 ; 1.365 ; 2,7 ; 37.688 ; D
Asia East;344;China, Hong Kong SAR; 71 ; 198 ; 1.373 ; 2,7 ; 530.985 ; D
Asia East;446;China, Macao SAR; 71 ; 198 ; 1.373 ; 2,7 ; 45.728 ; D
Asia East;410;Republic of Korea; 71 ; 198 ; 1.373 ; 2,7 ; 3.657.764 ; D
Europe Western ;438;Liechtenstein; 72 ; 199 ; 1.378 ; 2,8 ; 2.724 ; C
Europe Western ;492;Monaco; 72 ; 199 ; 1.378 ; 2,8 ; 2.795 ; C
Europe Western ;756;Switzerland; 72 ; 199 ; 1.378 ; 2,8 ; 615.790 ; C
Latin America and the Caribbean;32;Argentina; 72 ; 201 ; 1.393 ; 2,8 ; 3.243.563 ; D
Latin America and the Caribbean;188;Costa Rica; 72 ; 201 ; 1.393 ; 2,8 ; 365.609 ; D
Latin America and the Caribbean;192;Cuba; 72 ; 201 ; 1.393 ; 2,8 ; 820.910 ; D
Latin America and the Caribbean;212;Dominica; 72 ; 201 ; 1.393 ; 2,8 ; 5.201 ; D
Latin America and the Caribbean;214;Dominican Republic; 72 ; 201 ; 1.393 ; 2,8 ; 777.849 ; D
Latin America and the Caribbean;218;Ecuador; 72 ; 201 ; 1.393 ; 2,8 ; 1.258.415 ; D
Latin America and the Caribbean;308;Grenada; 72 ; 201 ; 1.393 ; 2,8 ; 8.112 ; D
Latin America and the Caribbean;320;Guatemala; 72 ; 201 ; 1.393 ; 2,8 ; 1.273.466 ; D
Latin America and the Caribbean;328;Guyana; 72 ; 201 ; 1.393 ; 2,8 ; 56.700 ; D
Latin America and the Caribbean;388;Jamaica; 72 ; 201 ; 1.393 ; 2,8 ; 213.552 ; D
Latin America and the Caribbean;600;Paraguay; 72 ; 201 ; 1.393 ; 2,8 ; 510.256 ; D
Latin America and the Caribbean;604;Peru; 72 ; 201 ; 1.393 ; 2,8 ; 2.354.806 ; D
Latin America and the Caribbean;662;Saint Lucia; 72 ; 201 ; 1.393 ; 2,8 ; 13.241 ; D
Latin America and the Caribbean;670;Saint Vincent & Grenadines; 72 ; 201 ; 1.393 ; 2,8 ; 8.011 ; D
Latin America and the Caribbean;740;Suriname; 72 ; 201 ; 1.393 ; 2,8 ; 42.112 ; D
Latin America and the Caribbean;862;Venezuela (Boliv. Rep. of); 72 ; 201 ; 1.393 ; 2,8 ; 2.065.461 ; D
Asia Southern;586;Pakistan; 74 ; 205 ; 1.416 ; 2,8 ; 15.947.645 ; B
America North;60;Bermuda; 74 ; 205 ; 1.417 ; 2,8 ; 4.606 ; D
America North;304;Greenland; 74 ; 205 ; 1.417 ; 2,8 ; 4.178 ; D
Latin America and the Caribbean;28;Antigua and Barbuda; 74 ; 205 ; 1.422 ; 2,8 ; 7.178 ; D
Latin America and the Caribbean;533;Aruba; 74 ; 205 ; 1.422 ; 2,8 ; 7.858 ; D
Latin America and the Caribbean;44;Bahamas; 74 ; 205 ; 1.422 ; 2,8 ; 28.792 ; D
Latin America and the Caribbean;52;Barbados; 74 ; 205 ; 1.422 ; 2,8 ; 21.215 ; D
Latin America and the Caribbean;92;British Virgin Islands; 74 ; 205 ; 1.422 ; 2,8 ; 2.218 ; D
Latin America and the Caribbean;136;Cayman Islands; 74 ; 205 ; 1.422 ; 2,8 ; 4.797 ; D
Latin America and the Caribbean;152;Chile; 74 ; 205 ; 1.422 ; 2,8 ; 1.400.946 ; D
Latin America and the Caribbean;531;Curaçao; 74 ; 205 ; 1.422 ; 2,8 ; 12.079 ; D
Latin America and the Caribbean;591;Panama; 74 ; 205 ; 1.422 ; 2,8 ; 313.897 ; D
Latin America and the Caribbean;630;Puerto Rico; 74 ; 205 ; 1.422 ; 2,8 ; 216.839 ; D
Latin America and the Caribbean;659;Saint Kitts and Nevis; 74 ; 205 ; 1.422 ; 2,8 ; 3.903 ; D
Latin America and the Caribbean;663;Saint Martin (French part); 74 ; 205 ; 1.422 ; 2,8 ; 2.809 ; D
Latin America and the Caribbean;534;Sint Maarten (Dutch part); 74 ; 205 ; 1.422 ; 2,8 ; 3.134 ; D
