Region;M49 code;Country;Household estimate (kg/capita/year);Household estimate (g/capita/Tag); Household estimate (g/capita/Woche); Household estimate (Brote/capita/Woche) Brot=500g;Household estimate (tonnes/year);Confidence in estimate
Europe East;643;Russian Federation; 33 ; 93 ; 642 ; 1,3 ; 4.868.564 ; B
Europe Southern ;705;Slovenia; 34 ; 95 ; 658 ; 1,3 ; 71.107 ; B
Europe Western ;40;Austria; 39 ; 108 ; 750 ; 1,5 ; 349.249 ; A
Africa Sub-Saharan;710;South Africa; 40 ; 110 ; 765 ; 1,5 ; 2.329.228 ; B
Europe Western ;56;Belgium; 50 ; 139 ; 960 ; 1,9 ; 576.036 ; B
Europe Western ;528;Netherlands; 50 ; 139 ; 962 ; 1,9 ; 854.855 ; A
Asia Southern;356;India; 50 ; 140 ; 968 ; 1,9 ; 68.760.163 ; B
Latin America and the Caribbean;84;Belize; 53 ; 146 ; 1.013 ; 2,0 ; 20.564 ; B
Europe Northern;372;Ireland; 55 ; 152 ; 1.052 ; 2,1 ; 267.073 ; B
Europe East;616;Poland; 56 ; 155 ; 1.076 ; 2,2 ; 2.119.455 ; B
America North;840;United States of America; 59 ; 163 ; 1.131 ; 2,3 ; 19.359.951 ; A
Latin America and the Caribbean;76;Brazil; 60 ; 166 ; 1.146 ; 2,3 ; 12.578.308 ; B
Australia and New Zealand;554;New Zealand; 61 ; 169 ; 1.173 ; 2,3 ; 291.769 ; A
Asia East;156;China; 64 ; 178 ; 1.229 ; 2,5 ; 91.646.213 ; B
Asia East;392;Japan; 64 ; 179 ; 1.237 ; 2,5 ; 8.159.891 ; B
Asia Southern;50;Bangladesh; 65 ; 181 ; 1.252 ; 2,5 ; 10.618.233 ; B
Europe Northern;246;Finland; 65 ; 182 ; 1.258 ; 2,5 ; 361.937 ; B
Europe Southern ;380;Italy; 67 ; 186 ; 1.289 ; 2,6 ; 4.059.806 ; B
Latin America and the Caribbean;170;Colombia; 70 ; 196 ; 1.354 ; 2,7 ; 3.545.499 ; B
Asia Southern;586;Pakistan; 74 ; 205 ; 1.416 ; 2,8 ; 15.947.645 ; B
Europe Western ;276;Germany; 75 ; 208 ; 1.442 ; 2,9 ; 6.263.775 ; A
Asia Southern;144;Sri Lanka; 76 ; 211 ; 1.459 ; 2,9 ; 1.617.738 ; B
Asia South-eastern;704;Viet Nam; 76 ; 212 ; 1.465 ; 2,9 ; 7.346.717 ; B
Europe Northern;826;United Kingdom; 77 ; 214 ; 1.481 ; 3,0 ; 5.199.825 ; A
Europe Southern ;724;Spain; 77 ; 215 ; 1.487 ; 3,0 ; 3.613.954 ; B
Asia South-eastern;360;Indonesia; 77 ; 215 ; 1.488 ; 3,0 ; 20.938.252 ; B
Europe Northern;233;Estonia; 78 ; 215 ; 1.491 ; 3,0 ; 102.743 ; B
Africa Sub-Saharan;894;Zambia; 78 ; 216 ; 1.498 ; 3,0 ; 1.391.729 ; B
America North;124;Canada; 79 ; 218 ; 1.510 ; 3,0 ; 2.938.321 ; A
Europe Northern;578;Norway; 79 ; 219 ; 1.515 ; 3,0 ; 423.857 ; A
Europe Northern;752;Sweden; 81 ; 225 ; 1.558 ; 3,1 ; 812.948 ; A
Europe Northern;208;Denmark; 81 ; 226 ; 1.564 ; 3,1 ; 469.449 ; A
Africa Sub-Saharan;288;Ghana; 84 ; 233 ; 1.616 ; 3,2 ; 2.555.332 ; A
Europe Western ;250;France; 85 ; 236 ; 1.631 ; 3,3 ; 5.522.358 ; B
Europe Western ;442;Luxembourg; 89 ; 248 ; 1.716 ; 3,4 ; 54.951 ; B
Asia South-eastern;458;Malaysia; 91 ; 254 ; 1.759 ; 3,5 ; 2.921.577 ; B
Africa Sub-Saharan;231;Ethiopia; 92 ; 256 ; 1.772 ; 3,5 ; 10.327.236 ; B
Europe East;348;Hungary; 94 ; 261 ; 1.804 ; 3,6 ; 908.669 ; B
Latin America and the Caribbean;484;Mexico; 94 ; 261 ; 1.806 ; 3,6 ; 11.979.364 ; B
Africa Sub-Saharan;404;Kenya; 99 ; 276 ; 1.908 ; 3,8 ; 5.217.367 ; B
Asia Western ;376;Israel; 100 ; 277 ; 1.915 ; 3,8 ; 848.395 ; B
Asia Western ;268;Georgia; 101 ; 280 ; 1.942 ; 3,9 ; 403.573 ; B
Australia and New Zealand;36;Australia; 102 ; 282 ; 1.956 ; 3,9 ; 2.563.110 ; A
Asia Western ;422;Lebanon; 105 ; 291 ; 2.013 ; 4,0 ; 717.491 ; B
Asia Western ;682;Saudi Arabia; 105 ; 291 ; 2.017 ; 4,0 ; 3.594.080 ; A
Africa Sub-Saharan;834;United Rep. of Tanzania; 119 ; 331 ; 2.290 ; 4,6 ; 6.907.649 ; B
Asia Western ;368;Iraq; 120 ; 335 ; 2.316 ; 4,6 ; 4.734.434 ; B
Europe Southern ;470;Malta; 129 ; 358 ; 2.481 ; 5,0 ; 56.812 ; A
Asia Western ;48;Bahrain; 132 ; 366 ; 2.533 ; 5,1 ; 216.161 ; B
Europe Southern ;300;Greece; 142 ; 394 ; 2.725 ; 5,4 ; 1.483.996 ; B
Africa Sub-Saharan;646;Rwanda; 164 ; 457 ; 3.161 ; 6,3 ; 2.075.405 ; B
Africa Sub-Saharan;566;Nigeria; 189 ; 524 ; 3.631 ; 7,3 ; 37.941.470 ; B
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
